"row_no";"threat_id";"top_level_group";"asset_group_code";"method_code";"asset_group_name";"threat";"attack_method";"passport_asset";"flow_ids";"actuality";"coverage_mode";"emulation_profile";"native_anchor";"project_rules";"component_note"
"1";"УБИ.1.1.1";"1";"1";"1";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет эксплуатации уязвимостей";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"2";"УБИ.1.1.2";"1";"1";"2";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков конфигурации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"3";"УБИ.1.1.3";"1";"1";"3";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков архитектуры";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"4";"УБИ.1.1.4";"1";"1";"4";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"5";"УБИ.1.1.5";"1";"1";"5";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.1 Внедрение закладок в прикладное программное обеспечение; СП.5.2 Внедрение закладок, являющихся драйверами устройств; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"6";"УБИ.1.1.7";"1";"1";"7";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети. Компоненты: К.2.2.8 Сетевой интерфейс.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"7";"УБИ.1.1.8";"1";"1";"8";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет сканирования сетевой инфраструктуры";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.8 Сканирование сетевой инфраструктуры. Техники: СП.8.5 Идентификация пользователей; СП.8.6 Обнаружение доступных общих сетевых каталогов. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"8";"УБИ.1.1.9";"1";"1";"9";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет изучения информации о системе";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.9 Изучение информации о системе. Техники: СП.9.6 Поиск файлов и каталогов. Компоненты: К.1.2.1 Операционная система; К.1.2.3 Программная оболочка; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"9";"УБИ.1.1.10";"1";"1";"10";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки типа ""человек посередине""";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"10";"УБИ.1.1.11";"1";"1";"11";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет применения скрытых каналов";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.11 Применение скрытых каналов. Техники: СП.11.1 Применение скрытых каналов по времени. Компоненты: К.1.3.1 Системные и сетевые службы; К.1.5.11 Пакет офисного ПО (для работы с текстами, таблицами, презентациями и т.п.); и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
