"row_no";"threat_id";"threat";"emulation_profile";"coverage_mode";"detector_rules";"native_anchor";"flow_ids";"coverage_log";"profile_logs";"component_note"
"1";"УБИ.1.1.1";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет эксплуатации уязвимостей";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"2";"УБИ.1.1.2";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков конфигурации";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"3";"УБИ.1.1.3";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков архитектуры";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"4";"УБИ.1.1.4";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения вредоносного программного обеспечения";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"5";"УБИ.1.1.5";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет внедрения программных и аппаратных закладок";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"6";"УБИ.1.1.7";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет прослушивания (захвата) сетевого трафика";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"7";"УБИ.1.1.8";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет сканирования сетевой инфраструктуры";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"8";"УБИ.1.1.9";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет изучения информации о системе";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"9";"УБИ.1.1.10";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки типа ""человек посередине""";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"10";"УБИ.1.1.11";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет применения скрытых каналов";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"11";"УБИ.1.1.12";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет считывания вводимой и выводимой информации";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"12";"УБИ.1.1.13";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет реализации социальной инженерии";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"13";"УБИ.1.1.16";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет нарушения изоляции";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"14";"УБИ.1.1.18";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков механизмов разграничения доступа";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"15";"УБИ.1.1.24";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет физического воздействия";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"16";"УБИ.1.1.25";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки на системы с распределенным реестром";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"17";"УБИ.1.1.26";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет воздействия через системы хранения и резервирования данных";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"18";"УБИ.1.2.1";"Угроза утечки информации, обрабатываемой сервером, за счет эксплуатации уязвимостей";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"19";"УБИ.1.2.2";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков конфигурации";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"20";"УБИ.1.2.3";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков архитектуры";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
