"Элемент техпаспорта";"Модель / версия";"Назначение";"Статус подтверждения"
"Рама БАС";"Holybro X500 v2; в стенде представлена моделью gz_x500";"Целевая воздушная платформа; в проекте представлена виртуальной моделью";"Holybro X500 v2 задана как целевая платформа, но аппаратная валидация не подтверждена; модель gz_x500 подтверждена"
"Полетный контроллер";"Pixhawk 6C; в стенде заменен процессом PX4 SITL";"Центральный полетный компонент целевой платформы; в стенде его роль выполняет PX4 SITL";"Pixhawk 6C задан как целевая платформа; аппаратная валидация не подтверждена; PX4 SITL подтвержден"
"Автопилот";"PX4 SITL; точная версия PX4 не подтверждена";"Прием и выполнение команд управления; работа с параметрами и миссией";"Подтверждено по конфигурации и документации проекта"
"Наземная станция";"QGroundControl AppImage; точная версия QGroundControl не подтверждена";"Ввод команд оператора; отображение телеметрии и состояния";"Использование в архитектуре стенда подтверждено; фактический запуск во всех артефактах не подтвержден"
"Среда моделирования";"Gazebo; модель gz_x500; PX4_SIM_MODEL=x500; точная версия Gazebo не подтверждена";"Моделирование полета и виртуальной модели БАС";"Подтверждено по конфигурации и локальной спецификации модели"
"Навигация";"Датчики модели gz_x500: navsat, imu, magnetometer, air_pressure; M8N GPS не подтвержден";"Формирование данных положения, высоты и навигационного состояния";"Подтверждены только датчики модели gz_x500"
"Канал связи";"MAVLink/UDP; API 14541/14540; GCS 14552/14550; версия MAVLink не подтверждена";"Передача команд, телеметрии и служебных сообщений";"Подтверждено по настройкам monitor и gateway"
"Телеметрия";"PX4 telemetry через MAVSDK; flight_mode, armed, position, battery, gps_info, health";"Сбор и передача телеметрических данных";"Подтверждено по коду TelemetryCollector и логам"
"Питание и исполнительные механизмы";"battery telemetry; 4 motor channels; PM02/PDB/ESC не подтверждены";"Контроль заряда и напряжения; формирование управляющих воздействий на моторные каналы";"Подтверждены telemetry battery и 4 моторных канала; физическая силовая цепь не подтверждена"
"Хранилище данных";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; microSD/ULog не подтверждены";"Хранение конфигурации, журналов, параметров и артефактов работы стенда";"Подтверждены файлы конфигурации и JSONL-журналы; аппаратный носитель не подтвержден"
"Контур мониторинга ИБ";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; точные версии не подтверждены";"Сбор телеметрии, анализ угроз, контроль параметров и миссии, журналирование, частичное реагирование";"Состав модулей подтвержден файлами проекта"
